gps,is_promoted,hash,title,brand,address,category,rating,description,img,img_big,no_image,phone,email,facebook,url,count_reviews,photos,province,provinceCode,district,districtCode,village,villageCode,street,streetCode
"{""latitude"":10.74967575,""longitude"":106.67787933}",,40261746081087129,Viện y tế công cộng thành phố Hồ Chí Minh,,"159, Hưng Phú, Q. 8, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic2.coccoc.com/80x80/poi/previews/20150528/6410-2f7ca5b232a7a9a727fcbbcafc7f065c.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20150528/6410-2f7ca5b232a7a9a727fcbbcafc7f065c.jpg,,(84-8) 38 559 503,vienvsytcc@ihph.org.vn,,http://iph.org.vn/,0,[],Hồ Chí Minh,ho-chi-minh,Quận 8,quan-8,Phường 9,phuong-9,Hưng Phú,hung-phu
"{""latitude"":10.75016689,""longitude"":106.67937469}",,36465927131087163,Trạm y tế phường 8 - Quận 8,,"143, Hưng Phú, Q. 8, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic6.coccoc.com/80x80/poi/previews/20150528/6410-60f8f3f2694a110b1075b3f2a2803f40.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20150528/6410-60f8f3f2694a110b1075b3f2a2803f40.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 8,quan-8,Phường 9,phuong-9,Hưng Phú,hung-phu
"{""latitude"":10.74984455,""longitude"":106.67823029}",,36951532231087133,Phòng khám bệnh nghề nghiệp,,"159, Hưng Phú, Q. 8, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic.coccoc.com/80x80/poi/previews/20160113/9142-87b42d8de64f9ede3f2cc58369b19b8d.jpg,//poipic.coccoc.com/1000x750/poi/previews/20160113/9142-87b42d8de64f9ede3f2cc58369b19b8d.jpg,,(84-8) 38 598 547,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 8,quan-8,Phường 9,phuong-9,Hưng Phú,hung-phu
"{""latitude"":10.74793243,""longitude"":106.61457062}",,11648725101242152,Khoa phẫu thuật - Bệnh viện Minh Anh,,"57, Đường số 1A, Q. Bình Tân, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic2.coccoc.com/80x80/poi/previews/20160404/10674-854777d868990d585c11b8b27b48bdaa.jpg,//poipic.coccoc.com/1000x750/poi/previews/20160404/10674-854777d868990d585c11b8b27b48bdaa.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận Bình Tân,quan-binh-tan,Phường Bình Trị Đông B,phuong-binh-tri-dong-b,Đường số 1A,duong-so-1a
"{""latitude"":10.74985313,""longitude"":106.72873688}",,2248471357213660,Trạm y tế phường Tân Thuận Đông,,"357, Huỳnh Tấn Phát, P. Tân Thuận Đông, Q. 7, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic5.coccoc.com/80x80/poi/previews/20150701/7020-5a16bc2095ccbeddcd5a8ce7019122d2.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20150701/7020-5a16bc2095ccbeddcd5a8ce7019122d2.jpg,,(84-28) 38 720 576,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 7,quan-7,Phường Tân Thuận Đông,phuong-tan-thuan-dong,Huỳnh Tấn Phát,huynh-tan-phat
"{""latitude"":10.7488451,""longitude"":106.63523865}",,2042124428769203,Trạm y tế phường 12,,"264-266, Nguyễn Văn Lượng, Q. 6, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic1.coccoc.com/80x80/poi/previews/20150413/5923-0db2200d988839d2016478f9c677e324.jpg,//poipic.coccoc.com/1000x750/poi/previews/20150413/5923-0db2200d988839d2016478f9c677e324.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 6,quan-6,Phường 12,phuong-12,Nguyễn Văn Lượng,nguyen-van-luong
"{""latitude"":10.75203323,""longitude"":106.65591431}",,2462238540544414,Trạm y tế phường 14,,"525, Trần Hưng Đạo, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic5.coccoc.com/80x80/poi/previews/20140925/3433-d85ddb9221d6e5f2899a96374b79395a.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20140925/3433-d85ddb9221d6e5f2899a96374b79395a.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 14,phuong-14,Trần Hưng Đạo,tran-hung-dao
"{""latitude"":10.75090694,""longitude"":106.66078186}",,1800701617700020,Bệnh viện công an thành phố,,"126, Hải Thượng Lãn Ông, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic3.coccoc.com/80x80/poi/previews/20140924/3426-1d30c80242f2cbcdc9c753defe285615.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20140924/3426-1d30c80242f2cbcdc9c753defe285615.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 10,phuong-10,Hải Thượng Lãn Ông,hai-thuong-lan-ong
"{""latitude"":10.75098515,""longitude"":106.66494751}",,1684052352705816,Phòng khám mắt,,"39, Xóm Chỉ, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic.coccoc.com/80x80/poi/previews/20140924/3425-4d4bec10e3c8795863e863ecdcdefd6e.jpg,//poipic4.coccoc.com/1000x750/poi/previews/20140924/3425-4d4bec10e3c8795863e863ecdcdefd6e.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 10,phuong-10,Xóm Chỉ,xom-chi
"{""latitude"":10.75218773,""longitude"":106.66416168}",,2899713687544462,Khoa tham vấn hỗ trợ cộng đồng - Trung tâm y tế dự phòng quận 5,,"225B, Trần Hưng Đạo B, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic4.coccoc.com/80x80/poi/previews/20160219/10117-3cf618379bf65cc2e721d303787dabc6.jpg,//poipic5.coccoc.com/1000x750/poi/previews/20160219/10117-3cf618379bf65cc2e721d303787dabc6.jpg,,(84-8) 38 547 758,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 11,phuong-11,Trần Hưng Đạo B,tran-hung-dao-b
"{""latitude"":10.75205612,""longitude"":106.6710968}",,3011742741640751,Trạm y tế phường 6,,"50, Nguyễn Văn Đừng, P. 6, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic.coccoc.com/80x80/poi/previews/20180205/21553-068cd37b878a93cfdab43128ac6bc7b7.jpg,//poipic5.coccoc.com/1000x750/poi/previews/20180205/21553-068cd37b878a93cfdab43128ac6bc7b7.jpg,,(84-28) 38 366 417,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 6,phuong-6,Nguyễn Văn Đừng,nguyen-van-dung
"{""latitude"":10.7522459,""longitude"":106.67506409}",,3732648544918969,Trạm y tế phường 5,,"55, Bùi Hữu Nghĩa, P. 5, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic.coccoc.com/80x80/poi/previews/20170329/15419-6b423b0ec7d88790cd0878163973e578.jpg,//poipic4.coccoc.com/1000x750/poi/previews/20170329/15419-6b423b0ec7d88790cd0878163973e578.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 5,phuong-5,Bùi Hữu Nghĩa,bui-huu-nghia
"{""latitude"":10.75125313,""longitude"":106.67584991}",,34564023381432656,Phòng khám tai mũi họng,,"22, Bùi Hữu Nghĩa, P. 5, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic2.coccoc.com/80x80/poi/previews/20170329/15419-964677c1fcb706f39b7bfca8e6e12064.jpg,//poipic3.coccoc.com/1000x750/poi/previews/20170329/15419-964677c1fcb706f39b7bfca8e6e12064.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 5,phuong-5,Bùi Hữu Nghĩa,bui-huu-nghia
"{""latitude"":10.75198028,""longitude"":106.6783111}",,1761890218563321,Bệnh viện tâm thần thành phố Hồ Chí Minh,,"192, Hàm Tử, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,"Giới thiệuBệnh viện Tâm Thần TP.HCM (Trung tâm sức khỏe tâm thần) có tiền thân là Bệnh viện Chợ Quán được xây dựng vào năm 1862 tuy nhiên từ năm 1904 bệnh viện mới bắt đầu có khu điều trị tâm trí. Đặc biệt sau tháng 4 năm 1975 Trung Tâm đã liên tục phát triển về các mặt cơ sở, chuyên môn và nhân sự để đáp ứng nhu cầu chăm sóc sức khoẻ tâm thần ngày càng tăng trong nhân dân TP.HCM. Hiện nay là Bệnh viện chuyên khoa đầu ngành cao nhất về Tâm thần tại TP.HCM với gần 400 nhân viên đảm nhận các nhiệm vụ:- Phòng chống, phát hiện và quản lý điều trị tất cả rối loạn tâm thần cho hơn 8 triệu dân TP.HCM. - Thực hiên các giám định chuyên khoa tâm thần theo yêu cầu của các cơ quan chức năng. - Đào tạo và bồi dưỡng chuyên khoa Tâm thần ở mọi mức độ cho sinh viên y khoa, bác sĩ đa khoa … - Hợp tác quốc tế trong việc nghiên cứu về bệnh Tâm thần. * Sơ đồ tổ chức của Trung Tâm hiện nay như sau: - Cơ quan chính : Bệnh viện Tâm Thần TP.HCM 192 Hàm Tử, Phường 1, Quận 5, TP.HCM · Tel : 39.234.675 - 39/234/823 · Fax : 39.234.880 Bao gồm: + 2 khoa nột trú: dành cho bệnh nhân nam và nữ, mỗi khoa có 50 giường. + Khu khám ngoại trú người lớn: điều trị ngoại trú các rối loạn tâm thần ở người lớn. + Phòng khám ngoại trú trẻ em: điều trị ngoại trú các rối loạn tâm lý và tâm thần ở trẻ em. + Phòng Kế hoạch tổng hợp: phụ trách khối nội trú và hoạt động của 24 Phòng khám tâm thần quận huyện cũng như mạng lưới chăm sóc tâm thần cộng đồng ở 317 Trạm y tế phường xã. + Khu Cận lâm sàng: thực hiện các xét nghiệm như điện não đồ, điện tâm đồ, phân tích các chất ma túy trong nước tiểu, đo nồng độ các loại thuốc điều trị bệnh tâm thần và động kinh trong máu … + Khoa tâm lý: khám và điều trị tâm lý, thực hiện nhiều loại trắc nghiệm tâm lý khác nhau phục vụ công tác chẩn đoán và điều trị như trắc nghiệm chỉ số trí tuệ, trắc nghiệm nhân cách, các thang đánh giá diễn tiến và mức độ nặng các loại rối loạn tâm thần khác nhau … cũng như nghiên cứu phát triển và ứng dụng các phương pháp điều trị tâm lý trong việc điều trị bệnh tâm thần. - Ngoài ra Trung tâm còn có 2 cơ sở khác : + Bệnh viện Tâm thần Lê Minh Xuân vừa mới sữa chữa hoàn thành với 300 giường, phòng ốc khang trang dành cho bệnh nhân tâm thần mãn tính. Địa chỉ : Ấp 6 xã Lê Minh Xuân Huyện Bình Chánh Tel : 37.660.313 + Phòng khám tâm thần trẻ em và bệnh viện ban ngày: khám, điều trị và phục hồi chức năng các rối loạn tâm thần ở thanh thiếu niên. Địa chỉ : 165B Phan Đăng Lưu, Quận Phú Nhuận, TP.HCM Tel : 38.442.972",//poipic.coccoc.com/80x80/poi/previews/20130918/p1_137948813198094811a22a8611ae1954dfd2169ae60968.jpg,//poipic4.coccoc.com/1000x750/poi/previews/20130918/p1_137948813198094811a22a8611ae1954dfd2169ae60968.jpg,,(84-8) 39 234 675,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 1,phuong-1,Hàm Tử,ham-tu
"{""latitude"":10.75179863,""longitude"":106.68457794}",,4151661172918471,Phòng khám đa khoa Thế Giới,,"648, Võ Văn Kiệt, P. 1, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,5.0,,//poipic6.coccoc.com/80x80/poi/previews/20180205/21555-b18480937ce87969d3681b80fd469ddb.jpg,//poipic3.coccoc.com/1000x750/poi/previews/20180205/21555-b18480937ce87969d3681b80fd469ddb.jpg,,(84-28) 39 233 666,contact@phongkhamdakhoathegioi.vn,http://facebook.com/phongkhamdakhoathegioi,http://phongkhamdakhoathegioi.vn/,2,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 1,phuong-1,Võ Văn Kiệt,vo-van-kiet
"{""latitude"":10.75145054,""longitude"":106.71752167}",,193613910789073,Phòng khám nha khoa,,"3H, Đường số 1I, Q. 7, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic2.coccoc.com/80x80/poi/previews/20160114/9112-dbd5cde2ea6b41e33b59835a5318ebd5.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20160114/9112-dbd5cde2ea6b41e33b59835a5318ebd5.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 7,quan-7,Phường Tân Thuận Tây,phuong-tan-thuan-tay,Đường số 1I,duong-so-1i
"{""latitude"":10.75093174,""longitude"":106.71677399}",,27370049951248563,Phòng khám nhi,,"20J, Đường số 3J, Q. 7, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic4.coccoc.com/80x80/poi/previews/20160114/9112-f13315bbe3e7cf5c1c8291431b41bfc9.jpg,//poipic1.coccoc.com/1000x750/poi/previews/20160114/9112-f13315bbe3e7cf5c1c8291431b41bfc9.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 7,quan-7,Phường Tân Thuận Tây,phuong-tan-thuan-tay,Đường số 3J,duong-so-3j
"{""latitude"":10.75026417,""longitude"":106.61190796}",,3327599591353761,"Phòng khám phụ sản, siêu âm",,"41, Đường số 5A, Q. Bình Tân, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic1.coccoc.com/80x80/poi/previews/20151203/9069-3889bee7ac9aa75700ec4770d16c8066.jpg,//poipic.coccoc.com/1000x750/poi/previews/20151203/9069-3889bee7ac9aa75700ec4770d16c8066.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận Bình Tân,quan-binh-tan,Phường Bình Trị Đông B,phuong-binh-tri-dong-b,Đường số 5A,duong-so-5a
"{""latitude"":10.74951267,""longitude"":106.62597656}",,42013900921223470,Viện y học cổ truyền quân đội Tp Hồ Chi Minh,,"Đường số 2, Q. 6, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic.coccoc.com/80x80/poi/previews/20151202/8899-eab55e4ac6417810002f8c13f7487452.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20151202/8899-eab55e4ac6417810002f8c13f7487452.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 6,quan-6,Phường 13,phuong-13,Đường số 2,duong-so-2
"{""latitude"":10.74954796,""longitude"":106.64588165}",,365605788704882,Trạm y tế phường 6,,"106, Hậu Giang, Q. 6, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic.coccoc.com/80x80/poi/previews/20150407/5784-7a0bd288441dc1965f3e4a35a51adbcc.jpg,//poipic5.coccoc.com/1000x750/poi/previews/20150407/5784-7a0bd288441dc1965f3e4a35a51adbcc.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 6,quan-6,Phường 6,phuong-6,Hậu Giang,hau-giang
"{""latitude"":10.74968719,""longitude"":106.64439392}",,194535672766376,Trạm y tế phường 5 - Trung tâm y tế dự phòng quận 6,,"223, Hậu Giang, Q. 6, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic4.coccoc.com/80x80/poi/previews/20151214/8853-0fd06fd76f7fe951ad467029f35e3717.jpg,//poipic5.coccoc.com/1000x750/poi/previews/20151214/8853-0fd06fd76f7fe951ad467029f35e3717.jpg,,(84-8) 39 692 229,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 6,quan-6,Phường 6,phuong-6,Hậu Giang,hau-giang
"{""latitude"":10.75373268,""longitude"":106.65311432}",,4072542125922367,Trạm y tế phường 15,,"262, Hồng Bàng, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic4.coccoc.com/80x80/poi/previews/20160204/10031-8a4c4bf6574504d91556792d528fb61f.jpg,//poipic3.coccoc.com/1000x750/poi/previews/20160204/10031-8a4c4bf6574504d91556792d528fb61f.jpg,,(84-8) 39 556 625,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 15,phuong-15,Hồng Bàng,hong-bang
"{""latitude"":10.93977,""longitude"":106.742359722}",,3358112855496726,Phòng khám nội khoa,,"67A/3, Tỉnh lộ 743, P. An Phú, Thị xã Thuận An, T. Bình Dương",Sức khỏe,0.0,,//poipic3.coccoc.com/80x80/poi/previews/20121101/p1_13517400038178926e53547908444476e118515ee2ab29.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20121101/p1_13517400038178926e53547908444476e118515ee2ab29.jpg,,,,,,0,[],Bình Dương,binh-duong,Thị xã Thuận An,thi-xa-thuan-an,Phường An Phú,phuong-an-phu,Tỉnh lộ 743,tinh-lo-743
"{""latitude"":10.75312614,""longitude"":106.66676331}",,423594090656329,Khu điều trị mắt kỹ thuật cao - Bệnh viện quận 5,,"76-78, Ngô Quyền, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic1.coccoc.com/80x80/poi/previews/p1_f04b96fc-a700-4ba0-ae68-210160d226ce.jpg,//poipic2.coccoc.com/1000x750/poi/previews/p1_f04b96fc-a700-4ba0-ae68-210160d226ce.jpg,,(84-8) 38 550 380; (84-8) 22 610 4487; (84-8) 22 610 488; (84-8) 22 610 489,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 6,phuong-6,Ngô Quyền,ngo-quyen
"{""latitude"":10.75328636,""longitude"":106.67478943}",,276295886553792,Trung tâm giám định y khoa - Sở y tế thành phố Hồ Chí Minh,,"105, Bùi Hữu Nghĩa, P. 5, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic1.coccoc.com/80x80/poi/previews/20170329/15421-cb7072d3fdc8f0ef1b3917a0b3060c48.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20170329/15421-cb7072d3fdc8f0ef1b3917a0b3060c48.jpg,,(84-28) 39 236 368; (84-28) 38 865 351,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 5,phuong-5,Bùi Hữu Nghĩa,bui-huu-nghia
"{""latitude"":10.75230885,""longitude"":106.67882538}",,2349747562918470,Khoa khám bệnh theo yêu cầu - Bệnh viện Bệnh Nhiệt đới,,"764, Võ Văn Kiệt, P. 1, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic1.coccoc.com/80x80/poi/previews/20180206/21555-eb5a068d0010b162a39ac296cd9582e5.jpg,//poipic3.coccoc.com/1000x750/poi/previews/20180206/21555-eb5a068d0010b162a39ac296cd9582e5.jpg,,(84-28) 39 325 804; (84-28) 39 738 704,bv.bnhietdoi@tphcm.gov.vn,,http://bvbnd.vn/,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 1,phuong-1,Võ Văn Kiệt,vo-van-kiet
"{""latitude"":10.75231171,""longitude"":106.67887878}",,320222328951202,Bệnh viện Bệnh Nhiệt đới,,"764, Võ Văn Kiệt, P. 1, Q. 5, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic5.coccoc.com/80x80/poi/previews/20180206/21555-2e01592811028378cca7f9caf69f58a8.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20180206/21555-2e01592811028378cca7f9caf69f58a8.jpg,,096 734 1010; (84-28) 39 238 704,bv.bnhietdoi@tphcm.gov.vn,,http://bvbnd.vn/,0,[],Hồ Chí Minh,ho-chi-minh,Quận 5,quan-5,Phường 1,phuong-1,Võ Văn Kiệt,vo-van-kiet
"{""latitude"":10.75311661,""longitude"":106.70349121}",,2500040475191431,Trạm y tế phường 4,,"183C/3B, Tôn Thất Thuyết, Q. 4, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic2.coccoc.com/80x80/poi/previews/20151125/9096-874019ae61e1cfeb81f53b62de78179d.jpg,//poipic3.coccoc.com/1000x750/poi/previews/20151125/9096-874019ae61e1cfeb81f53b62de78179d.jpg,,(84-8) 39 402 921,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận 4,quan-4,Phường 15,phuong-15,Tôn Thất Thuyết,ton-that-thuyet
"{""latitude"":10.75085926,""longitude"":106.5918045}",,1153566592835394,Trạm y tế phường Tân Tạo A,,"Đường số 2, Q. Bình Tân, Tp. Hồ Chí Minh",Sức khỏe,0.0,,//poipic5.coccoc.com/80x80/poi/previews/20140702/2234-47336bf9d644bc70af70f5c96eb3bcf4.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20140702/2234-47336bf9d644bc70af70f5c96eb3bcf4.jpg,,,,,,0,[],Hồ Chí Minh,ho-chi-minh,Quận Bình Tân,quan-binh-tan,Phường Tân Tạo A,phuong-tan-tao-a,Đường số 2,duong-so-2
